学生学院,年级,班级,预警级别,学号,不及格课程总学分,不及格门次
电气与自动化工程学院,2012,1607121,蓝色预警,160712125,4,1
电气与自动化工程学院,2013,1605132,橙色预警,160513228,13.5,5
电气与自动化工程学院,2013,1608131,黄色预警,160813106,7.5,2
电气与自动化工程学院,2013,1608131,黄色预警,160813115,8,3
电气与自动化工程学院,2013,1608131,蓝色预警,160813130,3,1
电气与自动化工程学院,2013,1608132,橙色预警,160813202,13.5,6
电气与自动化工程学院,2013,Z161131,黄色预警,160113110,10.5,4
电气与自动化工程学院,2013,Z161131,蓝色预警,160113122,4,1
电气与自动化工程学院,2014,1605141,红色预警,160514122,43.5,13
电气与自动化工程学院,2014,1608141,红色预警,160814123,54,14
电气与自动化工程学院,2014,1608141,黄色预警,160814124,6.5,2
电气与自动化工程学院,2014,1608141,红色预警,160814125,41,14
电气与自动化工程学院,2014,1608141,黄色预警,160814129,8.5,3
电气与自动化工程学院,2014,1608142,黄色预警,160814211,13,4
电气与自动化工程学院,2014,1608142,红色预警,160814228,22.5,8
电气与自动化工程学院,2014,1621142,红色预警,162114205,54.5,18
电气与自动化工程学院,2014,1621142,红色预警,162114232,32,10
电气与自动化工程学院,2014,Z161141,黄色预警,Z16114102,9,2
电气与自动化工程学院,2014,Z161141,黄色预警,Z16114110,14.5,4
电气与自动化工程学院,2014,Z161141,黄色预警,Z16114128,11,3
电气与自动化工程学院,2014,Z161142,黄色预警,Z16114211,8,3
电气与自动化工程学院,2015,1605151,蓝色预警,160515102,3,1
电气与自动化工程学院,2015,1605151,橙色预警,160515110,14.5,5
电气与自动化工程学院,2015,1605151,蓝色预警,160515122,3,1
电气与自动化工程学院,2015,1605152,红色预警,160515222,26.5,8
电气与自动化工程学院,2015,1607151,黄色预警,160715101,13.5,4
电气与自动化工程学院,2015,1608151,红色预警,160814130,33,13
电气与自动化工程学院,2015,1608151,黄色预警,160815102,11,4
电气与自动化工程学院,2015,1608151,蓝色预警,160815116,3,1
电气与自动化工程学院,2015,1608151,橙色预警,160815121,13.5,6
电气与自动化工程学院,2015,1608151,黄色预警,160815126,4,2
电气与自动化工程学院,2015,1608151,蓝色预警,160815132,14,1
电气与自动化工程学院,2015,1608152,红色预警,160815206,70.5,23
电气与自动化工程学院,2015,1608152,黄色预警,160815207,11,4
电气与自动化工程学院,2015,1608152,红色预警,160815210,29,10
电气与自动化工程学院,2015,1608152,橙色预警,160815218,17,6
电气与自动化工程学院,2015,1608152,黄色预警,160815224,6,2
电气与自动化工程学院,2015,1608152,蓝色预警,160815232,2,1
电气与自动化工程学院,2015,1621151,红色预警,162115129,25.5,5
电气与自动化工程学院,2015,1621151,红色预警,162115138,27,6
电气与自动化工程学院,2015,1621152,橙色预警,162115213,19,7
电气与自动化工程学院,2015,1621152,蓝色预警,162115216,3,1
电气与自动化工程学院,2015,1621152,黄色预警,162115217,14,3
电气与自动化工程学院,2015,1621152,黄色预警,162115219,15.5,3
电气与自动化工程学院,2015,1621152,黄色预警,162115228,10,2
电气与自动化工程学院,2015,1621152,黄色预警,162115229,8.5,2
电气与自动化工程学院,2015,Z161151,红色预警,Z16115106,40,11
电气与自动化工程学院,2015,Z161151,红色预警,Z16115113,29.5,8
电气与自动化工程学院,2015,Z161151,蓝色预警,Z16115115,14,1
电气与自动化工程学院,2015,Z161151,蓝色预警,Z16115124,2,1
电气与自动化工程学院,2015,Z161151,红色预警,Z16115130,51.5,15
电气与自动化工程学院,2015,Z161151,黄色预警,Z16115139,7.5,3
